Name_of_SG,V_nom,s_nom, V_a, H kgm^2/rad,
Alfalfal_II_U1,15,162.1,15,4.05,
Alfalfal_II_U2,15,162.1,15,4.05,
CCSS_ILLAPA,18,250,18,5,
Tocopilla_U14,13.8,147.1,13.8,3.8,
Tocopilla_U15,13.8,147.1,13.8,3.8,
Tocopilla_U16,21,500,21,6.13,
Tocopilla_U12,13.8,92,13.8,4.17,
Tocopilla_U13,13.8,92,13.8,4.17,
CCH_U1,18,330,18,3.86,
CCH_U2,18,330,18,3.86,
Kelar_TG1,15,225,15,6.59,
Kelar_TG2,15,225,15,6.59,
Kelar_TV,15,212.353,15,6.52,
TG1A,15,165,15,6.0516,
TG1B,15,165,15,6.0516,
TV1C,15,165,15,6,
TG2A,15,165,15,6.0516,
TG2B,15,165,15,6.0516,
TV2C,15,165,15,6,
IEM,20,442,20,5.46,
CTM3_TG,15,185,15,4.8,
CTM3_TV,11.5,111,11.5,7.579999,
CTH,15.75,206.3,15.75,5.5,
CTM2,15,197.3,15,4,
CTM1,13.8,176.5,13.8,4.1,
CTA,15.75,206.3,15.75,5.5,
Angamos_U1,18,330,18,4.8,
Angamos_U2,18,330,18,4.8,
CDOM_U1,13.2,133,13.2,4,
Cochrane_U1,18,330,17.562133730036016,3.86,
C_Pabellon_U1,9.5,32.471,9.5,1.03,
C_Pabellon_U2,9.5,32.471,9.5,1.03,
C_Pabellon_U3,9.5,40,9.5,1.03,
NTO_U1,13.8,156.5,13.8,4.5,
NTO_U2,13.8,156.5,13.8,4.5,
CTTAR,13.8,186,13.8,6.1,
TGTAR,11.5,28,11.5,2.5,
Cochrane_U2,18,330,17.562133730036016,3.86,
Colbun_U1,13.8,220,13.8,3.9,
Colbun_U2,13.8,220,13.8,3.9,
LosGuindos_U1,15,165,15,5.5,
LosGuindos_U2,15,165,15,6.017,
StaMaria_U1,18,468,18,6.25,
SantaFeEnergia_U1,13.2,122.568,13.2,4.27,
SantaFe_U2,13.2,61.25,13.2,2.26,
SantaFe_U3,13.2,61.25,13.2,2.26,
Pacifico_U1,13.2,45.4,13.2,1.84,
Pacifico_U2,13.2,50,13.2,1.36,
Pacifico_U3,13.2,17.5,13.2,1.12,
El_Toro_U1,13.8,105.263,13.8,2.875,
El_Toro_U3,13.8,105.263,13.8,2.875,
El_Toro_U2,13.8,105.263,13.8,2.875,
El_Toro_U4,13.8,105.263,13.8,2.875,
StaLidia_U1,15,150,15,5,
LosPinos_U1,11.5,138.75,11.5,1.8,
Mampil_U1,13.8,29,13.8,2.9,
Mampil_U2,13.8,29,13.8,2.9,
Petropower_U1,11.5,86.6,11.5,3.75,
Antilhue_U1,11,63.5,11.5,1.27,
Antilhue_U2,11,63.5,11.5,1.27,
Bocamina_II,18,456,18,3.94,
c_laja,11,40.5,11,2.63,
C_Maipo_PA,11,10,11,2.7,
Canutillar_U1,13.8,70,13.8,3.2,
Canutillar_U2,13.8,70,13.8,3.2,
Central_Rucatayo,13.8,55.26,13.8,2.85,
C_ANTILLANCA,13.8,65,13.8,2.85,
Valdivia_U1,15,87.5,15,3.2,
C_CARILAF,13.8,24,13.8,4.235294,
Pangue_U1,13.8,240,13.8,3.85,
