Name_of_TF,N_of_Windings,Parameter,Value,Unit,AssociateSG
,,Winding_R,0.00136,pu,
,,Winding_X,0.1365,pu,
,,Winding_impedance_on_winding_1,0.5,,
YgDD_np1,3,f,50,Hz,C_Pabellon_U3,,VW1,220,kV_RMSLL,
,,VW2,33,kV_RMSLL,
,,VW3,9.5,kV_RMSLL,
,,SW1,63,MVA,
,,SW2,28,MVA,
,,SW3,35,MVA,
,,R12,0.0013,pu,
,,R13,0.0001,pu,
,,R23,0.0003,pu,
,,X12,0.1365,pu,
,,X13,0.127,pu,
,,X23,0.032,pu,
,,Tap_ratio,1,,
TR_NTO_N1,2,S,156.5,MVA,NTO_U1
,,f,50,Hz,
,,WV1,242,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00316645,pu,
,,Winding_X,0.1695704,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_NTO_N2,2,S,156.5,MVA,NTO_U2
,,f,50,Hz,
,,WV1,242,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00316645,pu,
,,Winding_X,0.1695704,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_CCH_U1,2,S,320,MVA,Cochrane_U2
,,f,50,Hz,
,,WV1,231,kV_RMSLL,
,,WV2,18,kV_RMSLL,
,,Tap_ratio,1.0125,,
,,Winding_R,0.0012,pu,
,,Winding_X,0.1241,pu,
,,Winding_impedance_on_winding_1,0.5,,
TR_TARA_N1,2,S,184,MVA,CTTAR
,,f,50,Hz,
,,WV1,225,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00338587,pu,
,,Winding_X,0.1189999,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_TARA_N3,2,S,19,MVA,CTTAR
,,f,50,Hz,
,,WV1,13.8,kV_RMSLL,
,,WV2,6.9,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00657895,pu,
,,Winding_X,0.07972902,pu,
,,Winding_impedance_on_winding_1,.5,,
TR_TARA_N2,3,f,50,Hz,CTTAR
,,VW1,220,kV_RMSLL,
,,VW2,11.5,kV_RMSLL,
,,VW3,6.9,kV_RMSLL,
,,SW1,28,MVA,
,,SW2,28,MVA,
,,SW3,19,MVA,
,,R12,0.0075,pu,
,,R13,0.001,pu,
,,R23,4.8e-04,pu,
,,X12,0.1197654,pu,
,,X13,0.1221388,pu,
,,X23,0.03806786,pu,
,,Tap_ratio,1,,
TR_TARA_N1,2,S,184,MVA,TGTAR
,,f,50,Hz,
,,WV1,225,kV_RMSLL,
,,WV2,13.8,kV_RMSLL,
,,Tap_ratio,1,,
,,Winding_R,0.00338587,pu,
