Name_PV,LibType,N_PV_arrays,N_PV_inServ,S_spv,Unit,P_ctrlMode,Active_ref,Unit,Q_ctrlMode,Reactive_ref,Unit,s_nom,p_mw,q_mw,p_pu,q_pu
PFV_VALLE_ESCONDIDO,PV park,64,64,1.667,MVA,2,0.27,pu,1,-0.2044,pu,106.688,28.80576000,-21.80702720,0.27000000,-0.20440000
PFV_Pampa_Solar_Norte,PV park,42,42,1.667,MVA,2,0.27,pu,1,-0.09,pu,70.014,18.90378000,-6.30126000,0.27000000,-0.09000000
PFV_CARRERA_PINTO,PV park,62,62,1.667,MVA,2,0.27,pu,1,0,pu,103.354,27.90558000,0.00000000,0.27000000,0.00000000
PFV_DAlmagro_Equiv,PV park,215,215,1.667,MVA,2,0.27,pu,1,0,pu,358.40500000000003,96.76935000,0.00000000,0.27000000,0.00000000
PFV_Conejo,PV park,63,63,1.667,MVA,2,0.27,pu,1,-0.1028,pu,105.021,28.35567000,-10.79615880,0.27000000,-0.10280000
PFV_LALACKAMA_I_II,PV park,45,45,1.667,MVA,2,0.617,pu,1,-0.2066,pu,75.015,46.28425500,-15.49809900,0.61700000,-0.20660000
PFV_Sol_de_Varas,PV park,65,65,1.667,MVA,2,0.27,pu,1,-0.283076923,pu,108.355,29.25585000,-30.67279967,0.27000000,-0.28307692
PFV_Nuevo_Futuro,PV park,75,75,1.667,MVA,2,0.27,pu,1,-0.0867,pu,125.025,33.75675000,-10.83966750,0.27000000,-0.08670000
PFV_Punta_del_Viento,PV park,106,106,1.667,MVA,2,0.27,pu,1,0.05,pu,176.702,47.70954000,8.83510000,0.27000000,0.05000000
PFV_Libelula_Gen,PV park,186,186,1.667,MVA,2,0.27,pu,1,0,pu,310.062,83.71674000,0.00000000,0.27000000,0.00000000
PFV_Meseta_de_los_Andes,PV park,98,98,1.667,MVA,2,0.27,pu,1,0,pu,163.366,44.10882000,0.00000000,0.27000000,0.00000000
PFV_QUILLOTA,PV park,150,150,1.667,MVA,2,0.27,pu,1,0.7,pu,250.05,67.51350000,175.03500000,0.27000000,0.70000000
PFV_LAMPA,PV park,150,150,1.667,MVA,2,0.27,pu,1,0.2,pu,250.05,67.51350000,50.01000000,0.27000000,0.20000000
PFV_Domeyko,PV park,120,120,1.667,MVA,2,0.27,pu,1,-0.1,pu,200.04,54.01080000,-20.00400000,0.27000000,-0.10000000
PFV_Sol_del_Lila,PV park,98,98,1.667,MVA,2,0.27,pu,1,0.315428571,pu,163.366,44.10882000,51.53030377,0.27000000,0.31542857
PFV_VALLE_DEL_SOL,PV park,95,95,1.667,MVA,2,0.27,pu,1,0.0442,pu,158.365,42.75855000,6.99973300,0.27000000,0.04420000
PFV_Jama_I_II,PV park,33,33,1.667,MVA,2,0.27,pu,1,0.0073,pu,55.011,14.85297000,0.40158030,0.27000000,0.00730000
PFV_LCruz_Solar,PV park,32,32,1.667,MVA,2,0.27,pu,1,0.0131,pu,53.344,14.40288000,0.69880640,0.27000000,0.01310000
