Name_LoadLF,LibType,Status,P_loadLF,Unit,Q_loadLF,Unit,p_mw,q_mw,Np,Nq,connectionType
TR_SPENCE,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_PALLATA,PQ load Yg with load-flow (LF),1,4,MW,3,,12,9,0,0,Yg
TR_ATACAM23,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_PURI220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ELABRA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ZALDI220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ELCOBRE,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_KELLAR,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
SAUX_U16,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_CHAMY_SSAA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_CALAM,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_NORGENER,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_TCHITACK,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ESMERAL110,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_ANGAMOS,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
LF_IEM,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_LLANOS220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_SEA_CHU,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_SK1_CHU,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_SE10_CHU,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_SE10A,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_SKM6,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_SALAR_SE,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_FARELLON,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
AA100_110,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
L_COCHRA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_PALMON,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_CONDORES,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_COLLAHU,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_QBLANCA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_NVICTORIA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_GEOGLIFOS,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_PPATACHE,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
TR_PARINACOTA,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
Puerto_CMDIC,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
Lagunas23,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
PUQUIOS220,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
COLLAH_PS,PQ load Yg with load-flow (LF),1,4,MW,3,MVAR,12,9,0,0,Yg
